player_name,enemy_team,own_goal,penalty,goals_scored,goals_conceded,goal_success
Abdoulaye Traoré,Nigeria,0,0,1,152,1
Abdoulaye Traoré,Senegal,0,0,1,117,1
Abdoulaye Traoré,United States,0,0,1,250,1
Abdukahhor Marifaliev,Cambodia,0,0,2,130,1
Abdul Aziz Al-Muqbali,Afghanistan,0,0,2,58,1
Abdul Aziz Al-Muqbali,Australia,0,0,1,167,1
Abdul Aziz Al-Muqbali,India,0,0,2,124,1
Abdul Aziz Al-Muqbali,Kuwait,0,0,1,121,1
Abdul Aziz Al-Muqbali,Thailand,0,0,1,183,1
Abdul Aziz Corr,Liberia,0,1,1,106,1
Abdul Farooq,Jordan,0,0,1,112,1
Abdul Hadi Yahya,Singapore,0,0,1,132,1
Abdul Hakim,Brunei,0,0,1,61,1
Abdul Jaloof,Philippines,0,0,1,75,1
Abdul Jaloof,Uzbekistan,0,0,1,152,1
Abdul Kader Kardaghli,Bahrain,0,0,1,134,1
Abdul Kader Keïta,Algeria,0,0,1,189,1
Abdul Kader Keïta,Benin,0,0,1,106,1
Abdul Kader Keïta,Burkina Faso,0,0,1,138,1
Abdul Kader Keïta,Congo,0,0,1,92,1
Abdul Kader Keïta,DR Congo,0,0,1,152,1
Abdul Kader Keïta,Egypt,0,0,1,152,1
Abdul Kader Keïta,Guinea,0,0,1,149,1
Abdul Kader Keïta,Madagascar,0,0,1,66,1
Abdul Kader Rifai,Maldives,0,0,1,140,1
Abdul Latif Helou,Iran,0,0,1,149,1
Abdul Latif Helou,Saudi Arabia,0,0,1,221,1
Abdul Latif Helou,Taiwan,0,0,2,215,1
Abdul Majeed Waris,Egypt,0,0,1,152,1
Abdul Majeed Waris,Sudan,0,0,1,110,1
Abdul Majeed Waris,Zambia,0,0,1,136,1
Abdul Mubin Mokhtar,Macau,0,0,2,164,1
Abdul Mubin Mokhtar,Saudi Arabia,0,0,1,221,1
Abdul Nzayinawo,Liberia,0,0,1,106,1
Abdul Rahman Abdulla,Cambodia,0,0,1,130,1
Abdul Razaq Ibrahim,Pakistan,0,0,3,122,1
Abdul Rwatubyaye,Kenya,0,0,1,118,1
Abdul Sesay,Chad,0,0,1,26,1
Abdul-Aziz Hassan,Palestine,0,0,1,64,1
Abdul-Hamid Bassiouny,Namibia,0,0,3,124,1
Abdul-Wahab Abu Al-Hail,Kazakhstan,0,1,1,260,1
Abdul-Wahab Abu Al-Hail,Macau,0,0,2,164,1
Abdul-Wahab Abu Al-Hail,Nepal,0,1,3,120,1
Abdul-Wahab Abu Al-Hail,Saudi Arabia,0,0,1,221,1
Abdulaziz Al Sulaiti,Indonesia,0,0,1,181,1
Abdulaziz Al-Anberi,China PR,0,0,1,158,1
Abdulaziz Al-Anberi,Qatar,0,0,1,187,1
Abdulaziz Al-Anberi,Saudi Arabia,0,0,1,221,1
Abdulaziz Al-Anberi,South Korea,0,0,1,188,1
Abdulaziz Al-Anberi,Thailand,0,0,2,183,1
Abdulaziz Al-Anberi,Yemen,0,0,2,105,1
Abdulaziz Al-Dosari,Taiwan,0,0,1,215,1
Abdulaziz Al-Hajeri,Pakistan,0,0,1,122,1
Abdulaziz Hatem,Bangladesh,0,0,1,158,1
Abdulaziz Hatem,El Salvador,0,0,1,231,1
Abdulaziz Hatem,Grenada,0,0,1,85,1
Abdulaziz Hatem,Honduras,0,0,1,252,1
Abdulaziz Hatem,India,0,0,1,124,1
Abdulaziz Hatem,Japan,0,0,1,183,1
Abdulaziz Hatem,South Korea,0,0,1,188,1
Abdulaziz Mohamed,Japan,0,0,1,183,1
Abdulaziz Mohamed,Pakistan,0,0,2,122,1
Abdulfattah Asiri,Singapore,0,0,2,132,1
Abdulfattah Shehab,Kuwait,0,0,1,121,1
Abdulfattah Shehab,Singapore,0,0,1,132,1
Abdulgadir Ilyas Bakur,Uzbekistan,0,0,1,152,1
Abdulla Al Marzooqi,Iran,0,0,1,149,1
Abdulla Baba Fatadi,Malaysia,0,0,1,136,1
Abdulla Baba Fatadi,Qatar,0,0,1,187,1
Abdulla Yusuf Helal,Jordan,0,0,1,112,1
Abdullah Al-Buloushi,France,0,0,1,217,1
Abdullah Al-Buloushi,Syria,0,0,1,118,1
Abdullah Al-Dosari,Bangladesh,0,0,1,158,1
Abdullah Al-Dosari,Macau,0,0,1,164,1
Abdullah Al-Hamdan,Singapore,0,0,1,132,1
Abdullah Al-Hashash,South Korea,0,0,1,188,1
Abdullah Al-Waked,Bahrain,0,0,1,134,1
Abdullah Al-Waked,Iran,0,1,1,149,1
Abdullah Bin Shehan,Bahrain,0,0,1,134,1
Abdullah Bin Shehan,Iraq,0,0,2,157,1
Abdullah Bin Shehan,Thailand,0,0,2,183,1
Abdullah Fawaz,Afghanistan,0,0,2,58,1
Abdullah Fawaz,Australia,0,1,2,167,1
Abdullah Fawaz,China PR,0,0,1,158,1
Abdullah Jumaan Al-Dosari,Thailand,0,0,1,183,1
Abdullah Mawei,Nepal,0,0,1,120,1
Abdullah Omar,Yemen,0,0,1,105,1
Abdullah Radif,South Korea,0,0,1,188,1
Abdullah Wabran,Macau,0,0,1,164,1
Abdullah Wabran,Malaysia,0,0,1,136,1
Abdullah Wabran,Singapore,0,0,1,132,1
Abdulnaser Abbas,Kuwait,0,0,1,121,1
Abdulnasser Al-Obaidly,Japan,0,0,1,183,1
Abdulnasser Al-Obaidly,United Arab Emirates,0,0,1,200,1
Abdulrahim Jumaa,Iran,0,0,1,149,1
Abdulrahman Al-Qahtani,Bahrain,0,0,1,134,1
Abdulrahman Ghareeb,Oman,0,0,1,104,1
Abdulrahman Ibrahim,Iraq,0,0,1,157,1
Abdulrahman Ibrahim,Oman,0,0,1,104,1
Abdulrahman Mohamed,Pakistan,0,0,1,122,1
Abdulrazaq Ibrahim Balooshi,Bangladesh,0,0,3,158,1
Abdulrazaq Ibrahim Balooshi,Japan,0,0,1,183,1
Abdulrazaq Ibrahim Balooshi,Thailand,0,1,2,183,1
Abdulsalaam Jumaa,Brunei,0,0,1,61,1
Abdulsalam Al Ghurbani,Brunei,0,0,1,61,1
Abdulsalam Al Ghurbani,India,0,0,1,124,1
Abdulsalam Al Ghurbani,United Arab Emirates,0,0,1,200,1
Abdulwahab Al-Malood,Philippines,0,0,1,75,1
Abdulwahab Al-Malood,Yemen,0,0,1,105,1
Abdulwasea Al-Matari,Pakistan,0,0,1,122,1
Abdulwasea Al-Matari,Singapore,0,0,1,132,1
Abdy Bäşimow,Sri Lanka,0,0,1,100,1
Abdülkerim Bardakcı,Latvia,0,0,1,320,1
Abedi Pele,Burundi,0,0,1,28,1
Abedi Pele,Congo,0,0,1,92,1
Abedi Pele,Gabon,0,0,1,97,1
Abedi Pele,Ivory Coast,0,0,1,163,1
Abedi Pele,Mozambique,0,0,1,89,1
Abedi Pele,Nigeria,0,0,1,152,1
Abedi Pele,Tunisia,0,0,1,170,1
Abedi Pele,Zambia,0,0,1,136,1
Abedi Saïd,Algeria,0,0,1,189,1
Abedi Saïd,Gabon,0,0,2,97,1
Abel Aguilar,Costa Rica,0,0,1,286,1
Abel Aguilar,Mexico,0,0,1,279,1
Abel Aguilar,Peru,0,0,1,331,1
Abel Aguilar,Trinidad and Tobago,0,0,1,208,1
Abel Aguilar,Uruguay,0,0,1,293,1
Abel Balbo,Australia,0,0,1,167,1
Abel Balbo,Bolivia,0,0,1,365,1
Abel Balbo,Brazil,0,0,1,214,1
Abel Balbo,Chile,0,0,1,291,1
Abel Balbo,Romania,0,0,1,237,1
Abel Hernández,Colombia,0,0,1,248,1
Abel Hernández,Jamaica,0,0,1,204,1
Abel Hernández,Tahiti,0,1,4,150,1
Abel Lobatón,Paraguay,0,0,1,297,1
Abel Xavier,Hungary,0,0,1,315,1
Abel Xavier,Slovakia,0,0,1,206,1
Abelardo Fernández,Czechoslovakia,0,0,1,55,1
Abelardo Fernández,France,0,0,1,217,1
Abinesh Samy,American Samoa,0,0,2,96,1
Ablie Jallow,Cameroon,0,0,1,196,1
Ablie Jallow,Mauritania,0,0,1,54,1
Ablie Jallow,Tunisia,0,0,1,170,1
Abner Trigueros,Saint Lucia,0,0,2,62,1
Abou Diaby,Finland,0,0,1,299,1
Abou Seydou,Algeria,0,0,1,189,1
Aboubacar Titi Camara,Senegal,0,0,1,117,1
Aboubakar Kamara,Equatorial Guinea,0,0,1,52,1
Aboubakari Ouédraogo,Sierra Leone,0,0,1,73,1
Aboubakary Koita,Angola,0,0,1,110,1
Abraham Tedros,Rwanda,0,0,1,66,1
Abram Raselemane,Jamaica,0,0,1,204,1
Absalom Iimbondi,Eritrea,0,0,1,19,1
Abu Kanu,Gabon,0,0,1,97,1
Abu Kanu,São Tomé and Príncipe,0,0,1,25,1
Abu Obeida Adam,Algeria,0,0,1,189,1
Abubakar Al-Mass,Bahrain,0,0,1,134,1
Abubaker Bani,Gambia,0,0,1,48,1
Abubaker Bani,Sudan,0,0,1,110,1
Abubaker Ben Brahim,Sudan,0,0,1,110,1
Abubaker Tabula,Guinea,0,0,1,149,1
Abubeker Nassir,Zimbabwe,0,0,1,110,1
Achille Emaná,Cape Verde,0,0,1,58,1
Achille Emaná,Egypt,0,0,1,152,1
Achille Emaná,Gabon,0,0,1,97,1
Achille Emaná,Togo,0,0,1,121,1
Achille Emaná,Zambia,0,0,1,136,1
Achraf Dari,Croatia,0,0,1,195,1
Achraf Hakimi,DR Congo,0,0,2,152,1
Achraf Hakimi,Gabon,0,0,1,97,1
Achraf Hakimi,Guinea-Bissau,0,0,1,47,1
Achraf Hakimi,Malawi,0,0,1,103,1
Achraf Hakimi,Mali,0,0,1,109,1
Aco Stojkov,Iceland,0,0,1,355,1
Aco Stojkov,Israel,0,0,1,259,1
Aco Stojkov,Liechtenstein,0,0,1,466,1
Aco Stojkov,Netherlands,0,0,1,226,1
Adam Abdulativ,Cambodia,0,0,2,130,1
Adam Buksa,Albania,0,0,1,346,1
Adam Buksa,Faroe Islands,0,0,1,455,1
Adam Buksa,Netherlands,0,0,1,226,1
Adam Buksa,San Marino,0,0,4,734,1
Adam Gnezda Čerin,Cyprus,0,0,1,484,1
Adam Gnezda Čerin,Northern Ireland,0,0,1,279,1
Adam Gnezda Čerin,Serbia,0,0,1,188,1
Adam Hložek,Belarus,0,0,1,252,1
Adam Idah,Gibraltar,0,0,1,244,1
Adam Idah,Netherlands,0,1,1,226,1
Adam Johnson,Bulgaria,0,0,1,288,1
Adam Johnson,Switzerland,0,0,1,257,1
Adam Lallana,Scotland,0,0,1,253,1
Adam Lallana,Slovakia,0,0,1,206,1
Adam Ledwoń,Georgia,0,0,1,232,1
Adam Marušić,Bosnia and Herzegovina,0,0,1,215,1
Adam Marušić,Gibraltar,0,0,1,244,1
Adam Marušić,Turkey,0,0,1,335,1
Adam Ndlovu,Algeria,0,0,1,189,1
Adam Ndlovu,Angola,0,0,1,110,1
Adam Ndlovu,Cameroon,0,0,1,196,1
Adam Ndlovu,Mauritania,0,0,1,54,1
Adam Ndlovu,Togo,0,0,1,121,1
Adam Nemec,Lithuania,0,0,1,313,1
Adam Nemec,Luxembourg,0,0,2,536,1
Adam Nemec,Malta,0,0,3,571,1
Adam Nemec,North Macedonia,0,0,1,258,1
Adam Nemec,Scotland,0,0,1,253,1
Adam Newton,Barbados,0,0,1,67,1
Adam Ounas,Guinea,0,0,1,149,1
Adam Ounas,Tanzania,0,0,2,79,1
Adam Priestley,Armenia,0,0,1,285,1
Adam Taggart,Jordan,0,0,1,112,1
Adam Taggart,Taiwan,0,0,2,215,1
Adam Zreľák,Belarus,0,0,1,252,1
Adam Zreľák,Ukraine,0,0,1,177,1
Adama Coulibaly,Congo,0,0,1,92,1
Adama Diomande,San Marino,0,0,1,734,1
Adama Klofie Koné,Mali,0,0,1,109,1
Adama Traoré,Kenya,0,0,1,118,1
Adama Traoré,Mauritania,0,0,2,54,1
Adama Traoré,Rwanda,0,0,1,66,1
Adane Girma,Zambia,0,0,1,136,1
Adel Abbas Hussain,China PR,0,1,1,158,1
Adel Abdelrahman,Ivory Coast,0,0,1,163,1
Adel Abdulrahman Marzouq,Hong Kong,0,0,1,112,1
Adel Al-Salimi,Brunei,0,0,1,61,1
Adel Al-Salimi,India,0,1,3,124,1
Adel Al-Salimi,United Arab Emirates,0,0,1,200,1
Adel Chedli,Guinea,0,0,1,149,1
Adel Chedli,Morocco,0,0,1,122,1
Adel Khamis,Japan,0,0,2,183,1
Adel Khamis,Kuwait,0,0,1,121,1
Adel Khamis Al Noobi,Philippines,0,0,1,75,1
Adel Khudhair,Syria,0,0,1,118,1
Adel Malulla,Jordan,0,0,1,112,1
Adel Mohamed Abdulla,Bahrain,0,0,2,134,1
Adel Mubarak Khamis,Iraq,0,0,1,157,1
Adel Sellimi,Benin,0,0,1,106,1
Adel Sellimi,Liberia,0,0,1,106,1
Adel Sellimi,Nigeria,0,0,1,152,1
Adel Sellimi,Rwanda,0,1,3,66,1
Adel Sellimi,Zambia,0,1,2,136,1
Adel Taarabt,Gabon,0,0,1,97,1
Adel Taarabt,Togo,0,0,1,121,1
Adem Ljajić,Albania,0,0,1,346,1
Adem Ljajić,Armenia,0,0,1,285,1
Adem Ljajić,Lithuania,0,0,2,313,1
Adem Ljajić,Montenegro,0,0,1,121,1
Ademola Adeshina,Ethiopia,0,0,1,65,1
Ademola Adeshina,Liberia,0,0,1,106,1
Ademola Lookman,Angola,0,0,1,110,1
Ademola Lookman,Cameroon,0,0,2,196,1
Adi Hütter,Liechtenstein,0,0,2,466,1
Adi Said,Taiwan,0,0,1,215,1
Adil Khan,Bangladesh,0,0,1,158,1
Adis Jahović,Luxembourg,0,1,1,536,1
Adis Jahović,Serbia,0,0,1,188,1
Adisak Kraisorn,Indonesia,0,0,1,181,1
Adisak Kraisorn,Iraq,0,0,1,157,1
Adisak Kraisorn,Taiwan,0,0,1,215,1
Admir Mehmedi,Andorra,0,0,1,396,1
Admir Mehmedi,Ecuador,0,0,1,283,1
Admir Mehmedi,Gibraltar,0,0,1,244,1
Admir Mehmedi,Iceland,0,0,1,355,1
Admir Mehmedi,Portugal,0,0,1,225,1
Admir Mehmedi,Romania,0,0,1,237,1
Admir Mehmedi,San Marino,0,0,1,734,1
Admiral Muskwe,Somalia,0,0,1,29,1
Adnan Ahmed Al-Sabbou,Bahrain,0,0,1,134,1
Adnan Al Talyani,Bangladesh,0,0,2,158,1
Adnan Al Talyani,China PR,0,0,1,158,1
Adnan Al Talyani,Czech Republic,0,0,1,200,1
Adnan Al Talyani,India,0,0,1,124,1
Adnan Al Talyani,Indonesia,0,0,1,181,1
Adnan Al Talyani,Iraq,0,0,2,157,1
Adnan Al Talyani,Jordan,0,0,1,112,1
Adnan Al Talyani,Kuwait,0,0,2,121,1
Adnan Al Talyani,Pakistan,0,0,1,122,1
Adnan Al Talyani,South Korea,0,0,1,188,1
Adnan Al Talyani,Sri Lanka,0,0,3,100,1
Adnan Al Talyani,Thailand,0,0,1,183,1
Adnan Al Talyani,Uzbekistan,0,0,1,152,1
Adnan Ali Deif,Yemen DPR,0,0,1,7,1
Adnan Dirjal,Bahrain,0,0,1,134,1
Adnan Januzaj,England,0,0,1,190,1
Adnan Ćustović,Turkey,0,0,1,335,1
Ado Onaiwu,Kyrgyzstan,0,1,3,70,1
Adolfino Cañete,Peru,0,0,2,331,1
Adolfo Aldana,Lithuania,0,0,1,313,1
Adolfo Bautista,Dominica,0,0,4,57,1
Adolfo Bautista,Ecuador,0,0,1,283,1
Adolfo Bautista,Guatemala,0,0,1,153,1
Adolfo Valencia,Argentina,0,0,2,252,1
Adolfo Valencia,Ecuador,0,0,1,283,1
Adolfo Valencia,Mexico,0,0,1,279,1
Adolfo Valencia,Romania,0,0,1,237,1
Adolfo Valencia,United States,0,0,1,250,1
Adoram Keisi,Cyprus,0,0,1,484,1
Adoram Keisi,Switzerland,0,0,1,257,1
Adrian Aliaj,Greece,0,0,1,252,1
Adrian Bumbescu,Albania,0,0,1,346,1
Adrian Clifton,United States Virgin Islands,0,0,2,94,1
Adrian Elrick,Indonesia,0,0,1,181,1
Adrian Fonrose,United States,0,0,1,250,1
Adrian Grbić,Northern Ireland,0,0,1,279,1
Adrian Grbić,Norway,0,0,1,231,1
Adrian Ilie,Colombia,0,0,1,248,1
Adrian Ilie,Hungary,0,0,2,315,1
Adrian Ilie,Liechtenstein,0,0,3,466,1
Adrian Ilie,Lithuania,0,0,1,313,1
Adrian Ilie,Republic of Ireland,0,0,1,234,1
Adrian Ilie,Slovakia,0,0,1,206,1
Adrian Knup,Belgium,0,0,1,274,1
Adrian Knup,Bulgaria,0,0,2,288,1
Adrian Knup,Estonia,0,0,3,393,1
Adrian Knup,Iceland,0,0,1,355,1
Adrian Knup,Romania,0,0,2,237,1
Adrian Knup,San Marino,0,0,3,734,1
Adrian Knup,Scotland,0,1,3,253,1
Adrian Kunz,Finland,0,0,1,299,1
Adrian Madaschi,Fiji,0,0,2,134,1
Adrian Mariappa,Nicaragua,0,0,1,66,1
Adrian Mierzejewski,Montenegro,0,0,1,121,1
Adrian Mierzejewski,San Marino,0,0,1,734,1
Adrian Mutu,Albania,0,1,1,346,1
Adrian Mutu,Andorra,0,0,2,396,1
Adrian Mutu,Belarus,0,1,5,252,1
Adrian Mutu,Bosnia and Herzegovina,0,0,2,215,1
Adrian Mutu,Czech Republic,0,0,2,200,1
Adrian Mutu,Denmark,0,0,2,247,1
Adrian Mutu,Finland,0,1,2,299,1
Adrian Mutu,Hungary,0,1,1,315,1
Adrian Mutu,Italy,0,0,1,222,1
Adrian Mutu,Luxembourg,0,0,4,536,1
Adrian Mutu,North Macedonia,0,0,1,258,1
Adrian Mutu,Slovenia,0,0,1,213,1
Adrian Popa,Armenia,0,0,1,285,1
Adrian Popa,Montenegro,0,0,1,121,1
Adrian Popescu,Bulgaria,0,0,1,288,1
Adrian Serioux,Honduras,0,0,1,252,1
Adriano,Argentina,0,0,3,252,1
Adriano,Australia,0,0,1,167,1
Adriano,Costa Rica,0,0,3,286,1
Adriano,Germany,0,0,2,275,1
Adriano,Ghana,0,0,1,147,1
Adriano,Greece,0,0,1,252,1
Adriano,Mexico,0,0,2,279,1
Adriano,Turkey,0,0,1,335,1
Adriano,United States,0,0,1,250,1
Adriano,Uruguay,0,0,1,293,1
Adriano,Venezuela,0,0,1,427,1
Adriano Leite Ribeiro,Bolivia,0,0,1,365,1
Adriano Leite Ribeiro,Chile,0,0,3,291,1
Adriano Leite Ribeiro,Venezuela,0,0,2,427,1
Adriano Samaniego,Mexico,0,0,1,279,1
Adrien Rabiot,Australia,0,0,1,167,1
Adrien Rabiot,Croatia,0,0,1,195,1
Adrien Rabiot,Gibraltar,0,0,1,244,1
Adrien Rabiot,Kazakhstan,0,0,1,260,1
Adrien Silva,Mexico,0,1,1,279,1
